1p5deg, lowQ10, lowO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
75%,    255.95,    447.74,    277.20,    316.90,    319.32,    469.00,    508.70,    511.11,    472.16,    514.34,    516.48,      0.00,    192.77,     21.50,     61.07,     63.50,    213.94,    252.98,    255.41,    217.52,    258.60,    260.81
max,    440.71,    635.28,    464.43,    506.34,    508.43,    659.00,    700.91,    703.01,    662.40,    706.42,    708.60,      0.00,    194.71,     23.72,     65.63,     67.72,    218.29,    260.20,    262.30,    221.69,    265.71,    267.89
2deg, highQ10, highO3:
,CTL_tot,CH4_tot,LULUC_CCS_tot,LULUC_Nat_tot,LULUC_opt_tot,Linear_CCS_tot,Linear_Nat_tot,Linear_opt_tot,Coupled_CCS_tot,Coupled_Nat_tot,Coupled_opt_tot,CTL_mit,CH4_mit,LULUC_CCS_mit,LULUC_Nat_mit,LULUC_opt_mit,Linear_CCS_mit,Linear_Nat_mit,Linear_opt_mit,Coupled_CCS_mit,Coupled_Nat_mit,Coupled_opt_mit
count,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00,     34.00
mean,    213.23,    424.31,    242.12,    266.44,    270.11,    453.20,    477.51,    481.19,    456.36,    484.20,    487.54,      0.00,    211.08,     28.89,     53.20,     56.88,    239.96,    264.28,    267.95,    243.13,    270.96,    274.31
std,     88.38,     90.17,     89.48,     90.65,     90.51,     91.27,     92.44,     92.30,     91.00,     92.35,     92.25,      0.00,      2.01,      1.40,      2.51,      2.38,      3.12,      4.23,      4.10,      2.88,      4.15,      4.04
min,     63.79,    272.17,     91.60,    113.60,    117.87,    299.98,    321.98,    326.25,    303.90,    328.83,    332.84,      0.00,    206.67,     26.24,     49.23,     52.93,    233.28,    256.21,    260.08,    236.75,    263.12,    266.56
25%,    159.97,    369.02,    188.83,    212.81,    216.43,    397.89,    421.87,    425.49,    401.17,    428.65,    431.83,      0.00,    209.81,     27.78,     51.41,     55.27,    238.01,    261.84,    265.47,    241.37,    268.68,    271.86
50%,    219.75,    431.64,    249.54,    273.53,    277.12,    461.43,    485.31,    489.00,    464.69,    491.93,    495.30,      0.00,    211.06,     28.93,     52.84,     56.46,    239.84,    264.12,    267.79,    243.16,    270.59,    273.95
75%,    257.51,    468.79,    287.09,    312.25,    315.76,    498.51,    523.53,    527.05,    501.28,    530.08,    533.20,      0.00,    212.41,     29.82,     54.83,     58.31,    241.78,    266.31,    269.93,    244.99,    272.83,    276.36
max,    443.10,    658.49,    475.82,    502.66,    506.03,    691.21,    718.05,    721.42,    693.96,    724.63,    727.68,      0.00,    215.39,     32.73,     59.57,     62.93,    248.12,    274.96,    278.32,    250.87,    281.53,    284.58
