Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,21,22,24,25,25,25,24,23,22,21,20
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,1.35,1.57,1.86,2.03,2.02,2.02,1.89,1.77,1.66,1.55,1.45
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,11,12,13,13,13,13,12,12,11,11,10
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,8.90,9.17,9.36,9.65,9.79,9.88,9.64,9.42,9.19,8.96,8.72
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,1.20,0.30,0.18,0.18,0.15,0.14,0.16,0.19,0.22,0.24,0.23
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Other,Mt CH4/yr,0.12,0.11,0.34,0.61,0.48,0.15,0.02,0.01,0.01,0.00,0.00
IMAGE,SSP2-Ref-SPA0-V17,CHN,Emissions|CH4|Waste,Mt CH4/yr,9.49,10,11,12,12,11,9.94,8.92,7.89,6.88,6.04
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4,Mt CH4/yr,8.85,9.46,12,15,17,19,20,21,23,23,22
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.04,0.04,0.05,0.05
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.71,0.83,1.02,1.09,1.08,1.02,1.06,1.06,0.97,0.69,0.42
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.04,0.06,0.07,0.06
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.04,0.06,0.07,0.06
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Energy Supply,Mt CH4/yr,0.02,0.02,0.06,0.15,0.26,0.53,0.93,1.39,1.92,1.73,1.18
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,0.81,0.93,1.18,1.38,1.50,1.66,2.11,2.60,3.08,2.63,1.78
IMAGE,SSP2-Ref-SPA0-V17,EAF,Emissions|CH4|Land Use,Mt CH4/yr,6.94,7.26,8.87,11,13,15,15,15,16,16,16
