Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,11,12,12,10,9.26,8.20,7.86,7.54,7.25,6.97,6.70
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,3.84,4.02,4.01,3.52,2.65,1.59,1.47,1.35,1.21,1.07,0.92
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.11,0.05,0.07,0.03,0.08,0.08,0.03,0.02,0.02,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.45,0.41,0.37,0.34,0.31,0.28,0.26,0.25,0.23,0.22,0.20
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,INDIA,Emissions|CH4|Waste,Mt CH4/yr,5.10,5.54,6.10,6.51,6.75,6.46,6.36,6.27,6.17,5.95,5.67
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4,Mt CH4/yr,8.80,12,12,8.37,6.19,4.86,4.31,3.91,3.49,3.32,2.87
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.51,0.54,0.54,0.41,0.32,0.21,0.20,0.19,0.14,0.11,0.08
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.02,0.02,0.02,0.03,0.05,0.04,0.02,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.02,0.02,0.02,0.03,0.05,0.04,0.02,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Energy Supply,Mt CH4/yr,1.87,2.23,3.11,1.63,0.98,0.76,0.57,0.41,0.26,0.20,0.16
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,2.40,2.80,3.69,2.09,1.37,1.02,0.80,0.62,0.42,0.32,0.25
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Land Use,Mt CH4/yr,4.48,6.77,6.11,3.79,2.42,1.63,1.51,1.38,1.26,1.32,1.08
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.20,0.22,0.26,0.27,0.26,0.26,0.24,0.23,0.22,0.20,0.19
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,3.45,3.70,3.94,2.88,2.03,1.24,1.15,1.07,0.99,0.91,0.83
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.09,0.10,0.12,0.10,0.07,0.06,0.06,0.05,0.05,0.04,0.04
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,0.81,0.90,0.96,0.76,0.70,0.64,0.62,0.61,0.59,0.57,0.55
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,2.55,2.70,2.86,2.02,1.26,0.54,0.47,0.41,0.35,0.30,0.24
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.81,2.83,1.90,0.62,0.11,0.12,0.11,0.07,0.04,0.20,0.05
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Other,Mt CH4/yr,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,INDO,Emissions|CH4|Waste,Mt CH4/yr,1.91,2.06,2.39,2.48,2.39,2.20,1.99,1.91,1.80,1.67,1.54
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4,Mt CH4/yr,1.99,1.97,1.72,1.41,1.09,0.80,0.73,0.67,0.60,0.57,0.45
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,JAP,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
