Model,Scenario,Region,Variable,Unit,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,0.15,0.16,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.18
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,3.57,3.92,4.59,4.64,4.86,4.92,4.99,5.04,5.08,5.09,5.08
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.64,0.72,0.80,0.75,0.57,0.35,0.23,0.21,0.19,0.16,0.14
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.47,1.81,4.30,3.66,1.67,0.39,0.00,0.01,0.01,0.01,0.02
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,1.08,1.02,0.87,0.74,0.66,0.65,0.63,0.61,0.58,0.54,0.50
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Other,Mt CH4/yr,0.00,0.01,0.02,0.02,0.03,0.04,0.05,0.07,0.08,0.09,0.08
IMAGE,SSP2-26-SPA2-V17,WAF,Emissions|CH4|Waste,Mt CH4/yr,1.96,2.26,2.97,3.42,3.92,4.09,4.39,4.74,4.98,5.17,5.32
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4,Mt CH4/yr,22,21,15,11,10,9.19,8.94,8.93,8.81,8.59,8.21
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.00
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,0.47,0.40,0.24,0.13,0.10,0.08,0.10,0.10,0.08,0.07,0.06
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.06,0.06,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.06,0.06,0.05,0.04,0.04,0.03,0.02,0.02,0.02,0.01,0.01
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Energy Supply,Mt CH4/yr,6.27,5.35,2.10,1.02,0.69,0.53,0.42,0.56,0.63,0.63,0.46
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,6.86,5.86,2.44,1.23,0.87,0.67,0.56,0.69,0.74,0.72,0.54
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Land Use,Mt CH4/yr,10,10,9.99,8.99,8.38,7.56,7.41,7.26,7.09,6.90,6.71
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,10,10,9.86,8.86,8.26,7.45,7.31,7.16,6.99,6.82,6.64
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,2.09,2.12,2.04,1.75,1.58,1.24,1.20,1.15,1.11,1.06,1.00
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,7.83,7.93,7.74,7.05,6.63,6.18,6.08,5.98,5.87,5.75,5.62
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,0.09,0.08,0.08,0.07,0.05,0.03,0.03,0.02,0.02,0.02,0.02
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,0.03,0.03,0.01,0.01,0.02,0.02,0.01,0.01,0.02,0.02,0.01
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.06,0.05,0.05
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Other,Mt CH4/yr,0.03,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00
IMAGE,SSP2-26-SPA2-V17,WEU,Emissions|CH4|Waste,Mt CH4/yr,4.61,4.82,3.02,1.17,1.06,0.93,0.95,0.96,0.96,0.96,0.95
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4,Mt CH4/yr,318,348,359,265,238,198,183,180,174,169,161
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Energy Demand|Industry,Mt CH4/yr,0.44,0.52,0.55,0.44,0.39,0.40,0.41,0.35,0.29,0.22,0.16
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Energy Demand|Residential and Commercial,Mt CH4/yr,11,12,11,8.53,7.59,6.08,5.99,5.73,4.87,4.05,3.21
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Energy Demand|Transportation,Mt CH4/yr,0.45,0.46,0.60,0.63,0.78,0.63,0.33,0.18,0.14,0.10,0.11
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Energy Demand|Transportation|Ground Transportation,Mt CH4/yr,0.45,0.46,0.60,0.63,0.78,0.63,0.33,0.18,0.14,0.10,0.11
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Energy Supply,Mt CH4/yr,100,115,113,47,30,21,15,14,12,10,7.47
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Energy Supply and Demand,Mt CH4/yr,113,128,127,57,39,28,22,21,17,15,11
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Land Use,Mt CH4/yr,154,164,174,153,146,121,113,111,109,108,105
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Land Use|Agricultural Waste Burning,Mt CH4/yr,1.41,1.60,1.95,2.27,2.72,2.75,2.69,2.59,2.56,2.39,2.23
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Land Use|Agriculture,Mt CH4/yr,136,145,153,135,122,107,105,104,102,100,99
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Land Use|Agriculture|AWM,Mt CH4/yr,11,11,12,10,9.38,8.25,7.84,7.58,7.31,7.04,6.77
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Land Use|Agriculture|Enteric Fermentation,Mt CH4/yr,95,103,109,100,96,90,90,89,89,88,87
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Land Use|Agriculture|Rice,Mt CH4/yr,30,31,32,25,17,8.67,7.70,6.90,6.10,5.27,4.45
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Land Use|Forest Burning,Mt CH4/yr,9.50,11,13,9.61,17,6.84,1.17,1.45,1.22,1.71,0.97
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Land Use|Savannah Burning,Mt CH4/yr,6.89,6.59,6.11,5.52,4.30,4.05,3.70,3.57,3.21,3.16,3.12
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Other,Mt CH4/yr,0.34,0.35,0.70,0.63,0.37,0.20,0.13,0.14,0.15,0.14,0.13
IMAGE,SSP2-26-SPA2-V17,World,Emissions|CH4|Waste,Mt CH4/yr,52,56,58,54,53,49,48,47,47,46,45
